HDU,Name,DataType,MinBitDepth,Multiplicity,Required,Description,Comments
0,PRIMARY,PrimaryHDU,,False,True,EPRV Standard FITS HEADER (no data),Carried forward from L2 FITS file
1,INSTRUMENT_HEADER,ImageHDU,,False,True,Inherited instrument header (no data),Carried forward from L2 FITS file
2,RECEIPT,BinTableHDU,,False,True,Table of operations that have been performed on this file,
3,DRP_CONFIG,BinTableHDU,,False,True,Pipeline details (settings etc) to go from native data to L2,
4,EXT_DESCRIPT,BinTableHDU,,False,True,Table describing contents of each extension,
5,ORDER_TABLE,BinTableHDU,,False,True,Table capturing the wavelength extent of each order in Trace 1, Required columns: physical echelle order; index echelle order; start wavelength [64bit]; end wavelength [64bit]
6,STITCHED_CORR_SCI_FLUX,ImageHDU,,False,True,Order stitched and blaze-corrected flux co-added across all traces,This flux array stitches together all orders and co-adds all traces and has been blaze corrected
7,STITCHED_CORR_SCI_WAVE,ImageHDU,64,False,True,Order stitched BC- and drift-corrected wavelength solution,This wavelength solution stitches together all orders and has been both drift and barycentric corrected
8,STITCHED_CORR_SCI_VAR,ImageHDU,,False,True,Order stitched variance for the combined flux in STITCHED_CORR_SCI_FLUX,This variance array stitches together all orders and is based on the co-added and blaze corrected flux (STITCHED_CORR_FLUX)
9,STITCHED_CORR_TRACE1_FLUX,ImageHDU,,True,False,Order stitched blaze-corrected flux in trace 1,This flux array stitches together all orders and has been blaze corrected. If only one trace then leave empty and only populate the STITCHED_CORR_SCI_FLUX extension
10,STITCHED_CORR_TRACE1_WAVE,ImageHDU,64,True,False,Order stitched BC- and drift-corrected wavelength solution for trace 1,This wavelength solution stitches together all orders and has been both drift and barycentric corrected.  If only one trace then leave empty and only populate the STITCHED_CORR_SCI_WAVE extension
11,STITCHED_CORR_TRACE1_VAR,ImageHDU,,True,False,Order stitched variance for the flux in STITCHED_CORR_TRACE1_FLUX,This variance array stitches together all orders and is based on the blaze corrected flux (STITCHED_CORR_TRACE1_FLUX).  If only one trace then leave empty and only populate the STITCHED_CORR_SCI_VAR extension
12,STITCHED_CUSTOMCORR1_SCI_FLUX,ImageHDU,,True,False,Additional corrections made to STITCHED_CORR_SCI_FLUX,This could include additional corrections such as telluric or sky corrections
13,STITCHED_CUSTOMCORR1_SCI_WAVE,ImageHDU,,True,False,Wavelength solution corresponding to STITCHED_CUSTOMCORR1_SCI_FLUX,Wavelength solution corresponding to the flux array in STITCHED_CUSTOMCORR1_SCI_FLUX
14,STITCHED_CUSTOMCORR1_SCI_VAR,ImageHDU,,True,False,Variance corresponding to STITCHED_CUSTOMCORR1_SCI_FLUX,Variance of the STITCHED_CUSTOMCORR1_SCI_FLUX flux array
15,STITCHED_CUSTOMCORR1_TRACE1_FLUX,ImageHDU,,True,False,Additional corrections made to STITCHED_CORR_TRACE1_FLUX,This could include additional corrections such as telluric or sky corrections
16,STITCHED_CUSTOMCORR1_TRACE1_WAVE,ImageHDU,,True,False,Wavelength solution corresponding to STITCHED_CUSTOMCORR1_TRACE1_FLUX,Wavelength solution corresponding to the flux array in STITCHED_CUSTOMCORR1_TRACE1_FLUX
17,STITCHED_CUSTOMCORR1_TRACE1_VAR,ImageHDU,,True,False,Variance corresponding to STITCHED_CUSTOMCORR1_TRACE1_FLUX,Variance of the STITCHED_CUSTOMCORR1_TRACE1_FLUX flux array
